name,city,region,sector,official_code,aliases,notes,status
Aero Clube,Volta Redonda,Setor Centro Norte,SCN,2,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Barreira Cravo,Volta Redonda,Setor Centro Norte,SCN,5,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Belo Horizonte,Volta Redonda,Setor Centro Norte,SCN,43,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Niterói,Volta Redonda,Setor Centro Norte,SCN,22,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Retiro,Volta Redonda,Setor Centro Norte,SCN,24,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
São João Batista,Volta Redonda,Setor Centro Norte,SCN,26,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Vila Brasília,Volta Redonda,Setor Centro Norte,SCN,39,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Vila Mury,Volta Redonda,Setor Centro Norte,SCN,40,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Voldac,Volta Redonda,Setor Centro Norte,SCN,42,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Açude,Volta Redonda,Setor Oeste,SO,1,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Belmonte,Volta Redonda,Setor Oeste,SO,7,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Jardim Belmonte,Volta Redonda,Setor Oeste,SO,50,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Jardim Padre Josimo Tavares,Volta Redonda,Setor Oeste,SO,45,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Siderlândia,Volta Redonda,Setor Oeste,SO,49,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Santa Cruz II,Volta Redonda,Setor Norte,SN,48,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Candelária,Volta Redonda,Setor Norte,SN,9,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Dom Bosco,Volta Redonda,Setor Norte,SN,12,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Pinto da Serra,Volta Redonda,Setor Norte,SN,47,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
Santa Cruz,Volta Redonda,Setor Norte,SN,44,,Extraído de mapa_bairros_setores.pdf e mapa_tabela_bairros_setores.pdf; conferir visualmente antes de aplicar no banco.,oficial
